"SampleID","TaxaID","N_Taxa","file_taxatrans","file_attributes","Match_Official","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","ORDER","FAMILY","FFG","TOLVAL","HABIT","NONTARGET"
"010145-8/16/23","Calopterygidae",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Odonata","Calopterygidae","PR",6.1,"CB;CN",FALSE
"010145-8/16/23","Ceratopogonidae",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Ceratopogonidae","PR",6.3,"BU;SP",FALSE
"010145-8/16/23","Chironomidae",76,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Chironomidae","CG",5.5,"",FALSE
"010145-8/16/23","Decapoda",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","Crustacea","Crustacea","","Decapoda","Decapoda","CG",6.4,"",FALSE
"010145-8/16/23","Elmidae",9,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Coleoptera","Elmidae","CG",4,"CN",FALSE
"010145-8/16/23","Helicopsychidae",5,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Helicopsychidae","SC",2,"BU",FALSE
"010145-8/16/23","Heptageniidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Ephemeroptera","Heptageniidae","SC",1.9,"CN",FALSE
"010145-8/16/23","Hirudinea",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Annelida","","Hirudinea","Hirudinea","","","PR",NA,"SP",FALSE
"010145-8/16/23","Hydracarina",11,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Arachnida","","","","PR",5.5,"",FALSE
"010145-8/16/23","Hydropsychidae",59,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Hydropsychidae","CF",2.7,"CN",FALSE
"010145-8/16/23","Hydroptilidae",11,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Hydroptilidae","SC",4,"CN",FALSE
"010145-8/16/23","Isopoda",7,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","Crustacea","Crustacea","","Isopoda","","SH",7.6,"",FALSE
"010145-8/16/23","Limnephilidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Limnephilidae","SH",2.8,"SP",FALSE
"010145-8/16/23","Lymnaeidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Gastropoda","","Basommatophora","Lymnaeidae","SC",6.4,"CB",FALSE
"010145-8/16/23","Mesoveliidae",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Hemiptera","Mesoveliidae","PR",NA,"SK",FALSE
"010145-8/16/23","Oligochaeta",11,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Annelida","","Oligochaeta","","Haplotaxida","","CG",NA,"BU",FALSE
"010145-8/16/23","Physidae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Gastropoda","","Basommatophora","Physidae","SC",8,"CB",FALSE
"010145-8/16/23","Polycentropodidae",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Polycentropodidae","PR",5.5,"CN",FALSE
"010145-8/16/23","Sialidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Megaloptera","Sialidae","PR",5.1,"BU",FALSE
"010145-8/16/23","Tabanidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Tabanidae","PR",6.3,"SP",FALSE
"010145-8/16/23","Unionidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Bivalvia","","Unionoida","Unionidae","CF",5,"BU",FALSE
"010146-8/16/23","Amphipoda",29,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","Crustacea","Crustacea","","Amphipoda","","SH",6.2,"",FALSE
"010146-8/16/23","Ancylidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Gastropoda","","Basommatophora","Ancylidae","SC",6.7,"CB;CN",FALSE
"010146-8/16/23","Baetidae",15,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","CG",4.6,"CN;SW",FALSE
"010146-8/16/23","Calopterygidae",9,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Odonata","Calopterygidae","PR",6.1,"CB;CN",FALSE
"010146-8/16/23","Chironomidae",96,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Chironomidae","CG",5.5,"",FALSE
"010146-8/16/23","Cordulegastridae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Odonata","Cordulegastridae","PR",2.9,"BU",FALSE
"010146-8/16/23","Corydalidae",5,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Megaloptera","Corydalidae","PR",4.9,"CN",FALSE
"010146-8/16/23","Decapoda",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","Crustacea","Crustacea","","Decapoda","Decapoda","CG",6.4,"",FALSE
"010146-8/16/23","Dixidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Dixidae","CG",2.9,"SW",FALSE
"010146-8/16/23","Elmidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Coleoptera","Elmidae","CG",4,"CN",FALSE
"010146-8/16/23","Heptageniidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Ephemeroptera","Heptageniidae","SC",1.9,"CN",FALSE
"010146-8/16/23","Hydracarina",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Arachnida","","","","PR",5.5,"",FALSE
"010146-8/16/23","Hydropsychidae",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Hydropsychidae","CF",2.7,"CN",FALSE
"010146-8/16/23","Leptoceridae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Leptoceridae","SH",3.6,"SP;SW",FALSE
"010146-8/16/23","Limnephilidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Limnephilidae","SH",2.8,"SP",FALSE
"010146-8/16/23","Mesoveliidae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Hemiptera","Mesoveliidae","PR",NA,"SK",FALSE
"010146-8/16/23","Molannidae",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Molannidae","SC",5.2,"SP",FALSE
"010146-8/16/23","Oligochaeta",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Annelida","","Oligochaeta","","Haplotaxida","","CG",NA,"BU",FALSE
"010146-8/16/23","Phryganeidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Phryganeidae","SH",4.5,"CB;CN",FALSE
"010146-8/16/23","Physidae",23,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Gastropoda","","Basommatophora","Physidae","SC",8,"CB",FALSE
"010146-8/16/23","Pisidiidae",9,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Bivalvia","","Veneroida","Pisidiidae","CF",6.6,"BU",FALSE
"010146-8/16/23","Planorbidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Gastropoda","","Basommatophora","Planorbidae","SC",6.5,"CB",FALSE
"010146-8/16/23","Polycentropodidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Polycentropodidae","PR",5.5,"CN",FALSE
"010146-8/16/23","Sialidae",28,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Megaloptera","Sialidae","PR",5.1,"BU",FALSE
"010146-8/16/23","Tabanidae",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Tabanidae","PR",6.3,"SP",FALSE
"010147-8/16/23","Aeshnidae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Odonata","Aeshnidae","PR",5.7,"CB;CN",FALSE
"010147-8/16/23","Amphipoda",30,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","Crustacea","Crustacea","","Amphipoda","","SH",6.2,"",FALSE
"010147-8/16/23","Ancylidae",5,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Gastropoda","","Basommatophora","Ancylidae","SC",6.7,"CB;CN",FALSE
"010147-8/16/23","Athericidae",6,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Athericidae","PR",2,"SP",FALSE
"010147-8/16/23","Baetidae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","CG",4.6,"CN;SW",FALSE
"010147-8/16/23","Calopterygidae",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Odonata","Calopterygidae","PR",6.1,"CB;CN",FALSE
"010147-8/16/23","Ceratopogonidae",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Ceratopogonidae","PR",6.3,"BU;SP",FALSE
"010147-8/16/23","Chironomidae",39,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Chironomidae","CG",5.5,"",FALSE
"010147-8/16/23","Cordulegastridae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Odonata","Cordulegastridae","PR",2.9,"BU",FALSE
"010147-8/16/23","Corydalidae",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Megaloptera","Corydalidae","PR",4.9,"CN",FALSE
"010147-8/16/23","Elmidae",23,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Coleoptera","Elmidae","CG",4,"CN",FALSE
"010147-8/16/23","Gerridae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Hemiptera","Gerridae","PR",5.7,"SK",FALSE
"010147-8/16/23","Glossosomatidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Glossosomatidae","SC",0.6,"CN",FALSE
"010147-8/16/23","Heptageniidae",11,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Ephemeroptera","Heptageniidae","SC",1.9,"CN",FALSE
"010147-8/16/23","Hydracarina",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Arachnida","","","","PR",5.5,"",FALSE
"010147-8/16/23","Hydrophilidae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Coleoptera","Hydrophilidae","PR",5.4,"BU;SW",FALSE
"010147-8/16/23","Hydropsychidae",41,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Hydropsychidae","CF",2.7,"CN",FALSE
"010147-8/16/23","Leptoceridae",8,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Leptoceridae","SH",3.6,"SP;SW",FALSE
"010147-8/16/23","Limnephilidae",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Limnephilidae","SH",2.8,"SP",FALSE
"010147-8/16/23","Mesoveliidae",4,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Hemiptera","Mesoveliidae","PR",NA,"SK",FALSE
"010147-8/16/23","Molannidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Molannidae","SC",5.2,"SP",FALSE
"010147-8/16/23","Philopotamidae",1,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Philopotamidae","CF",1.4,"CN",FALSE
"010147-8/16/23","Physidae",25,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Gastropoda","","Basommatophora","Physidae","SC",8,"CB",FALSE
"010147-8/16/23","Pisidiidae",18,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Mollusca","","Bivalvia","","Veneroida","Pisidiidae","CF",6.6,"BU",FALSE
"010147-8/16/23","Polycentropodidae",2,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Trichoptera","Polycentropodidae","PR",5.5,"CN",FALSE
"010147-8/16/23","Sialidae",15,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Megaloptera","Sialidae","PR",5.1,"BU",FALSE
"010147-8/16/23","Simuliidae",5,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Simulidae","CF",4.2,"CN",FALSE
"010147-8/16/23","Tabanidae",8,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Tabanidae","PR",6.3,"SP",FALSE
"010147-8/16/23","Tipulidae",3,"MIEGLEtools_IBI_Taxa_Translator_20241122.csv","MIEGLEtools_IBI_Attributes_20241122.csv",TRUE,"Arthropoda","","Insecta","","Diptera","Tipulidae","CG",4,"BU",FALSE
